Zone,Region,Total No. Of Depots,Total Capacity,Rice Stock,Wheat Stock,Total Stock
East Zone,Bihar Region,80,"11,54,779 MT","2,80,023 MT","7,09,644 MT","9,89,667 MT"
East Zone,Jharkhand Region,48,"4,69,494 MT","2,45,937 MT","95,124 MT","3,41,061 MT"
East Zone,Odisha Region,41,"5,84,467 MT","4,31,371 MT","42,864 MT","4,74,235 MT"
East Zone,WB Region,30,"8,40,319 MT","1,37,826 MT","6,16,519 MT","7,54,344 MT"
North East Zone,Arunachal Region,28,"63,176 MT","37,071 MT",0 MT,"37,071 MT"
North East Zone,Assam Region,35,"5,30,559 MT","3,59,576 MT","67,621 MT","4,27,197 MT"
North East Zone,Manipur Region,9,"64,728 MT","51,106 MT",0 MT,"51,106 MT"
North East Zone,Nagaland Region,6,"57,083 MT","44,726 MT",0 MT,"44,726 MT"
North East Zone,NEF Region,23,"1,31,822 MT","76,951 MT","11,386 MT","88,337 MT"
North Zone,Delhi Region,6,"3,27,629 MT","1,00,174 MT","1,43,414 MT","2,43,588 MT"
North Zone,Haryana Region,262,"68,44,881 MT","43,76,290 MT","24,58,432 MT","68,34,723 MT"
North Zone,HP Region,21,"98,293 MT","21,783 MT","62,690 MT","84,473 MT"
North Zone,J&K Region,33,"2,61,673 MT","1,02,304 MT","86,079 MT","1,88,383 MT"
North Zone,Punjab Region,732,"1,54,28,248 MT","1,40,09,392 MT","7,79,583 MT","1,47,88,975 MT"
North Zone,Rajasthan Region,286,"22,56,601 MT","26,927 MT","20,16,802 MT","20,43,729 MT"
North Zone,UP Region,273,"53,74,037 MT","33,02,617 MT","14,87,985 MT","47,90,602 MT"
North Zone,Uttarakhand Region,21,"2,12,647 MT","1,26,597 MT","46,655 MT","1,73,252 MT"
South Zone,A P Region,48,"11,31,940 MT","7,29,394 MT","56,226 MT","7,85,620 MT"
South Zone,Karnataka Region,62,"10,26,949 MT","8,39,227 MT","41,765 MT","8,80,991 MT"
South Zone,Kerala Region,26,"5,83,098 MT","4,82,878 MT","53,946 MT","5,36,824 MT"
South Zone,Tamil Nadu Region,47,"13,21,302 MT","10,17,512 MT","1,82,615 MT","12,00,127 MT"
South Zone,Telangana Region,79,"20,62,771 MT","13,75,895 MT","31,163 MT","14,07,057 MT"
West Zone,Chhattisgarh Region,107,"19,98,736 MT","18,16,009 MT","1,567 MT","18,17,576 MT"
West Zone,Gujarat Region,38,"9,36,236 MT","2,91,571 MT","6,37,262 MT","9,28,833 MT"
West Zone,Maharastra Region,66,"17,93,412 MT","7,03,834 MT","9,06,048 MT","16,09,882 MT"
West Zone,MP Region,238,"14,00,673 MT","10,89,563 MT","2,48,157 MT","13,37,720 MT"
